agriprod,Unit,Country,Year,Value,Description,Dairy,Eggs,Honey,Meat
Meat,T,ES,2013,24250,Meat of livestock,0,0,0,1
Meat,T,ES,2014,24601,Meat of livestock,0,0,0,1
Meat,T,ES,2015,28849,Meat of livestock,0,0,0,1
Meat,T,ES,2016,26487,Meat of livestock,0,0,0,1
Meat,T,ES,2017,26417,Meat of livestock,0,0,0,1
Meat,T,ES,2018,35803,Meat of livestock,0,0,0,1
Meat,T,ES,2019,41265,Meat of livestock,0,0,0,1
Meat,T,ES,2020,38668,Meat of livestock,0,0,0,1
Meat,T,FI,2012,2260,Meat of livestock,0,0,0,1
Meat,T,FI,2013,2870,Meat of livestock,0,0,0,1
Meat,T,FI,2014,3100,Meat of livestock,0,0,0,1
Meat,T,FI,2015,4150,Meat of livestock,0,0,0,1
Meat,T,FI,2016,4360,Meat of livestock,0,0,0,1
Meat,T,FI,2017,3780,Meat of livestock,0,0,0,1
Meat,T,FI,2018,3710,Meat of livestock,0,0,0,1
Meat,T,FI,2019,3770,Meat of livestock,0,0,0,1
Meat,T,FI,2020,4420,Meat of livestock,0,0,0,1
Meat,T,FR,2012,32763,Meat of livestock,0,0,0,1
Meat,T,FR,2014,41773,Meat of livestock,0,0,0,1
Meat,T,FR,2015,44769,Meat of livestock,0,0,0,1
Meat,T,FR,2016,50175,Meat of livestock,0,0,0,1
Meat,T,FR,2017,55694,Meat of livestock,0,0,0,1
Meat,T,FR,2018,68948,Meat of livestock,0,0,0,1
Meat,T,FR,2019,78808,Meat of livestock,0,0,0,1
Meat,T,FR,2020,85092,Meat of livestock,0,0,0,1
Meat,T,HR,2012,5,Meat of livestock,0,0,0,1
Meat,T,HR,2013,9,Meat of livestock,0,0,0,1
Meat,T,HR,2014,109,Meat of livestock,0,0,0,1
Meat,T,HR,2015,1225,Meat of livestock,0,0,0,1
Meat,T,HR,2016,1774,Meat of livestock,0,0,0,1
Meat,T,HR,2017,1725,Meat of livestock,0,0,0,1
Meat,T,HR,2018,2311,Meat of livestock,0,0,0,1
Meat,T,HR,2019,2602,Meat of livestock,0,0,0,1
Meat,T,HR,2020,2835,Meat of livestock,0,0,0,1
Meat,T,HU,2012,906,Meat of livestock,0,0,0,1
Meat,T,HU,2013,894,Meat of livestock,0,0,0,1
Meat,T,HU,2014,982,Meat of livestock,0,0,0,1
Meat,T,HU,2015,888,Meat of livestock,0,0,0,1
Meat,T,HU,2016,1376,Meat of livestock,0,0,0,1
Meat,T,HU,2017,1123,Meat of livestock,0,0,0,1
Meat,T,HU,2018,1110,Meat of livestock,0,0,0,1
Meat,T,HU,2019,1812,Meat of livestock,0,0,0,1
Meat,T,HU,2020,1621,Meat of livestock,0,0,0,1
Meat,T,IE,2013,943,Meat of livestock,0,0,0,1
Meat,T,IE,2014,1139,Meat of livestock,0,0,0,1
Meat,T,IE,2015,1337,Meat of livestock,0,0,0,1
Meat,T,IE,2016,1555,Meat of livestock,0,0,0,1
Meat,T,IE,2017,1550,Meat of livestock,0,0,0,1
Meat,T,IE,2018,2361,Meat of livestock,0,0,0,1
Meat,T,IE,2019,2338,Meat of livestock,0,0,0,1
Meat,T,IE,2020,2227,Meat of livestock,0,0,0,1
Meat,T,IS,2018,23,Meat of livestock,0,0,0,1
Meat,T,IS,2019,29,Meat of livestock,0,0,0,1
Meat,T,IS,2020,11,Meat of livestock,0,0,0,1
Meat,T,IT,2014,73555,Meat of livestock,0,0,0,1
Meat,T,IT,2015,54927,Meat of livestock,0,0,0,1
Meat,T,IT,2016,99073,Meat of livestock,0,0,0,1
Meat,T,IT,2017,52039,Meat of livestock,0,0,0,1
Meat,T,IT,2020,91159,Meat of livestock,0,0,0,1
Meat,T,LT,2012,1655,Meat of livestock,0,0,0,1
Meat,T,LT,2013,2798,Meat of livestock,0,0,0,1
Meat,T,LT,2014,3758,Meat of livestock,0,0,0,1
Meat,T,LT,2015,4060,Meat of livestock,0,0,0,1
Meat,T,LT,2016,284,Meat of livestock,0,0,0,1
Meat,T,LT,2017,365,Meat of livestock,0,0,0,1
Meat,T,LT,2018,803,Meat of livestock,0,0,0,1
Meat,T,LT,2019,1098,Meat of livestock,0,0,0,1
Meat,T,LT,2020,1697,Meat of livestock,0,0,0,1
Meat,T,LU,2013,135,Meat of livestock,0,0,0,1
Meat,T,LU,2014,127,Meat of livestock,0,0,0,1
Meat,T,LU,2015,120,Meat of livestock,0,0,0,1
Meat,T,LU,2016,145,Meat of livestock,0,0,0,1
Meat,T,LU,2017,150,Meat of livestock,0,0,0,1
Meat,T,LU,2018,187,Meat of livestock,0,0,0,1
Meat,T,LU,2019,290,Meat of livestock,0,0,0,1
Meat,T,LU,2020,308,Meat of livestock,0,0,0,1
Meat,T,LV,2012,3234,Meat of livestock,0,0,0,1
Meat,T,LV,2013,3463,Meat of livestock,0,0,0,1
Meat,T,LV,2014,2784,Meat of livestock,0,0,0,1
Meat,T,LV,2015,2700,Meat of livestock,0,0,0,1
Meat,T,LV,2016,1582,Meat of livestock,0,0,0,1
Meat,T,LV,2017,1604,Meat of livestock,0,0,0,1
Meat,T,LV,2018,1629,Meat of livestock,0,0,0,1
Meat,T,LV,2019,1283,Meat of livestock,0,0,0,1
Meat,T,LV,2020,1533,Meat of livestock,0,0,0,1
Meat,T,MK,2013,0,Meat of livestock,0,0,0,1
Meat,T,MK,2014,0,Meat of livestock,0,0,0,1
Meat,T,MK,2015,0,Meat of livestock,0,0,0,1
Meat,T,MK,2016,0,Meat of livestock,0,0,0,1
Meat,T,MK,2017,0,Meat of livestock,0,0,0,1
Meat,T,MK,2018,0,Meat of livestock,0,0,0,1
Meat,T,MK,2019,0,Meat of livestock,0,0,0,1
Meat,T,MK,2020,0,Meat of livestock,0,0,0,1
Meat,T,MT,2012,0,Meat of livestock,0,0,0,1
Meat,T,MT,2013,0,Meat of livestock,0,0,0,1
Meat,T,MT,2014,0,Meat of livestock,0,0,0,1
Meat,T,MT,2015,0,Meat of livestock,0,0,0,1
Meat,T,MT,2016,0,Meat of livestock,0,0,0,1
Meat,T,MT,2017,0,Meat of livestock,0,0,0,1
Meat,T,MT,2018,0,Meat of livestock,0,0,0,1
Meat,T,MT,2019,0,Meat of livestock,0,0,0,1
Meat,T,MT,2020,0,Meat of livestock,0,0,0,1
Meat,T,NL,2013,12417,Meat of livestock,0,0,0,1
Meat,T,NL,2014,9750,Meat of livestock,0,0,0,1
Meat,T,NL,2015,8961,Meat of livestock,0,0,0,1
Meat,T,NL,2016,9547,Meat of livestock,0,0,0,1
Meat,T,NL,2017,11380,Meat of livestock,0,0,0,1
Meat,T,NL,2018,11976,Meat of livestock,0,0,0,1
Meat,T,NL,2019,13278,Meat of livestock,0,0,0,1
Meat,T,NL,2020,13168,Meat of livestock,0,0,0,1
Meat,T,NO,2012,2147,Meat of livestock,0,0,0,1
Meat,T,NO,2013,2381,Meat of livestock,0,0,0,1
Meat,T,NO,2014,2439,Meat of livestock,0,0,0,1
Meat,T,NO,2015,2442,Meat of livestock,0,0,0,1
Meat,T,NO,2016,2630,Meat of livestock,0,0,0,1
Meat,T,NO,2017,3013,Meat of livestock,0,0,0,1
Meat,T,NO,2018,3101,Meat of livestock,0,0,0,1
Meat,T,NO,2019,2849,Meat of livestock,0,0,0,1
Meat,T,NO,2020,3088,Meat of livestock,0,0,0,1
Meat,T,PL,2012,146,Meat of livestock,0,0,0,1
Meat,T,PL,2013,150,Meat of livestock,0,0,0,1
Meat,T,PL,2014,24,Meat of livestock,0,0,0,1
Meat,T,PL,2015,3,Meat of livestock,0,0,0,1
Meat,T,PL,2016,8,Meat of livestock,0,0,0,1
Meat,T,PL,2017,2,Meat of livestock,0,0,0,1
Meat,T,PL,2018,0,Meat of livestock,0,0,0,1
Meat,T,PL,2019,23,Meat of livestock,0,0,0,1
Meat,T,PL,2020,49,Meat of livestock,0,0,0,1
Meat,T,RO,2012,1,Meat of livestock,0,0,0,1
Meat,T,RO,2013,6,Meat of livestock,0,0,0,1
Meat,T,RO,2014,0,Meat of livestock,0,0,0,1
Meat,T,RO,2015,0,Meat of livestock,0,0,0,1
Meat,T,RO,2016,0,Meat of livestock,0,0,0,1
Meat,T,RO,2017,1,Meat of livestock,0,0,0,1
Meat,T,RO,2018,8,Meat of livestock,0,0,0,1
Meat,T,RO,2019,26,Meat of livestock,0,0,0,1
Meat,T,RO,2020,5,Meat of livestock,0,0,0,1
Meat,T,RS,2013,0,Meat of livestock,0,0,0,1
Meat,T,RS,2014,3,Meat of livestock,0,0,0,1
Meat,T,RS,2015,60,Meat of livestock,0,0,0,1
Meat,T,RS,2016,65,Meat of livestock,0,0,0,1
Meat,T,RS,2017,27,Meat of livestock,0,0,0,1
Meat,T,RS,2018,14,Meat of livestock,0,0,0,1
Meat,T,RS,2019,44,Meat of livestock,0,0,0,1
Meat,T,RS,2020,23,Meat of livestock,0,0,0,1
Meat,T,SE,2013,23668,Meat of livestock,0,0,0,1
Meat,T,SE,2014,24593,Meat of livestock,0,0,0,1
Meat,T,SE,2015,25075,Meat of livestock,0,0,0,1
Meat,T,SE,2016,26568,Meat of livestock,0,0,0,1
Meat,T,SE,2017,26877,Meat of livestock,0,0,0,1
Meat,T,SE,2018,29750,Meat of livestock,0,0,0,1
Meat,T,SE,2019,30914,Meat of livestock,0,0,0,1
Meat,T,SE,2020,30820,Meat of livestock,0,0,0,1
Meat,T,SI,2012,295,Meat of livestock,0,0,0,1
Meat,T,SI,2014,200,Meat of livestock,0,0,0,1
Meat,T,SI,2015,152,Meat of livestock,0,0,0,1
Meat,T,SI,2016,324,Meat of livestock,0,0,0,1
Meat,T,SI,2017,327,Meat of livestock,0,0,0,1
Meat,T,SI,2018,410,Meat of livestock,0,0,0,1
Meat,T,SI,2019,330,Meat of livestock,0,0,0,1
Meat,T,SI,2020,309,Meat of livestock,0,0,0,1
Meat,T,SK,2012,32,Meat of livestock,0,0,0,1
Meat,T,SK,2013,73,Meat of livestock,0,0,0,1
Meat,T,SK,2014,137,Meat of livestock,0,0,0,1
Meat,T,SK,2015,130,Meat of livestock,0,0,0,1
Meat,T,SK,2016,175,Meat of livestock,0,0,0,1
Meat,T,SK,2017,237,Meat of livestock,0,0,0,1
Meat,T,SK,2018,66,Meat of livestock,0,0,0,1
Meat,T,SK,2019,53,Meat of livestock,0,0,0,1
Meat,T,SK,2020,256,Meat of livestock,0,0,0,1
Meat,T,TR,2013,4970,Meat of livestock,0,0,0,1
Meat,T,TR,2014,2107,Meat of livestock,0,0,0,1
Meat,T,TR,2015,2605,Meat of livestock,0,0,0,1
Meat,T,TR,2016,1609,Meat of livestock,0,0,0,1
Meat,T,TR,2017,1352,Meat of livestock,0,0,0,1
Meat,T,TR,2018,1688,Meat of livestock,0,0,0,1
Meat,T,TR,2019,819,Meat of livestock,0,0,0,1
Meat,T,TR,2020,756,Meat of livestock,0,0,0,1
Meat,T,UK,2012,32200,Meat of livestock,0,0,0,1
Meat,T,UK,2013,54100,Meat of livestock,0,0,0,1
Meat,T,UK,2014,49700,Meat of livestock,0,0,0,1
Meat,T,UK,2015,46400,Meat of livestock,0,0,0,1
Meat,T,UK,2016,47200,Meat of livestock,0,0,0,1
Meat,T,UK,2017,53000,Meat of livestock,0,0,0,1
Meat,T,UK,2018,53800,Meat of livestock,0,0,0,1
Meat,T,UK,2019,42500,Meat of livestock,0,0,0,1
Meat,T,BE,2016,918,Bovine meat,0,0,0,1
Meat,T,BE,2017,1976,Bovine meat,0,0,0,1
Meat,T,BE,2018,2015,Bovine meat,0,0,0,1
Meat,T,BE,2019,2207,Bovine meat,0,0,0,1
Meat,T,BE,2020,1877,Bovine meat,0,0,0,1
Meat,T,BG,2012,0,Bovine meat,0,0,0,1
Meat,T,BG,2014,0,Bovine meat,0,0,0,1
Meat,T,BG,2015,0,Bovine meat,0,0,0,1
Meat,T,BG,2016,263,Bovine meat,0,0,0,1
Meat,T,BG,2017,152,Bovine meat,0,0,0,1
Meat,T,BG,2018,866,Bovine meat,0,0,0,1
Meat,T,BG,2019,140,Bovine meat,0,0,0,1
Meat,T,BG,2020,111,Bovine meat,0,0,0,1
Meat,T,BG,2021,105,Bovine meat,0,0,0,1
Meat,T,CY,2012,0,Bovine meat,0,0,0,1
Meat,T,CY,2013,0,Bovine meat,0,0,0,1
Meat,T,CY,2019,0,Bovine meat,0,0,0,1
Meat,T,CY,2020,0,Bovine meat,0,0,0,1
Meat,T,CY,2021,0,Bovine meat,0,0,0,1
Meat,T,CZ,2012,9268,Bovine meat,0,0,0,1
Meat,T,CZ,2013,9460,Bovine meat,0,0,0,1
Meat,T,CZ,2014,5841,Bovine meat,0,0,0,1
Meat,T,CZ,2015,5938,Bovine meat,0,0,0,1
Meat,T,CZ,2016,6063,Bovine meat,0,0,0,1
Meat,T,CZ,2017,6027,Bovine meat,0,0,0,1
Meat,T,CZ,2018,6547,Bovine meat,0,0,0,1
Meat,T,CZ,2019,7095,Bovine meat,0,0,0,1
Meat,T,CZ,2020,7441,Bovine meat,0,0,0,1
Meat,T,CZ,2021,8224,Bovine meat,0,0,0,1
Meat,T,DK,2012,5956,Bovine meat,0,0,0,1
Meat,T,DK,2013,6226,Bovine meat,0,0,0,1
Meat,T,DK,2014,6160,Bovine meat,0,0,0,1
Meat,T,DK,2015,5175,Bovine meat,0,0,0,1
Meat,T,DK,2016,5502,Bovine meat,0,0,0,1
Meat,T,DK,2017,5764,Bovine meat,0,0,0,1
Meat,T,DK,2018,6643,Bovine meat,0,0,0,1
Meat,T,DK,2019,6827,Bovine meat,0,0,0,1
Meat,T,DK,2020,7414,Bovine meat,0,0,0,1
Meat,T,EE,2012,1083,Bovine meat,0,0,0,1
Meat,T,EE,2013,1346,Bovine meat,0,0,0,1
Meat,T,EE,2014,1516,Bovine meat,0,0,0,1
Meat,T,EE,2015,1945,Bovine meat,0,0,0,1
Meat,T,EE,2016,1853,Bovine meat,0,0,0,1
Meat,T,EE,2017,2523,Bovine meat,0,0,0,1
Meat,T,EE,2018,3071,Bovine meat,0,0,0,1
Meat,T,EE,2019,2273,Bovine meat,0,0,0,1
Meat,T,EE,2020,4714,Bovine meat,0,0,0,1
Meat,T,EE,2021,3323,Bovine meat,0,0,0,1
Meat,T,ES,2012,16457,Bovine meat,0,0,0,1
Meat,T,ES,2013,14240,Bovine meat,0,0,0,1
Meat,T,ES,2014,15090,Bovine meat,0,0,0,1
Meat,T,ES,2015,18072,Bovine meat,0,0,0,1
Meat,T,ES,2016,15911,Bovine meat,0,0,0,1
Meat,T,ES,2017,16641,Bovine meat,0,0,0,1
Meat,T,ES,2018,23004,Bovine meat,0,0,0,1
Meat,T,ES,2019,26091,Bovine meat,0,0,0,1
Meat,T,ES,2020,23326,Bovine meat,0,0,0,1
Meat,T,ES,2021,28249,Bovine meat,0,0,0,1
Meat,T,FI,2012,1710,Bovine meat,0,0,0,1
Meat,T,FI,2013,1960,Bovine meat,0,0,0,1
Meat,T,FI,2014,2130,Bovine meat,0,0,0,1
Meat,T,FI,2015,2950,Bovine meat,0,0,0,1
Meat,T,FI,2016,2910,Bovine meat,0,0,0,1
Meat,T,FI,2017,2620,Bovine meat,0,0,0,1
Meat,T,FI,2018,2610,Bovine meat,0,0,0,1
Meat,T,FI,2019,2670,Bovine meat,0,0,0,1
Meat,T,FI,2020,3350,Bovine meat,0,0,0,1
Meat,T,FR,2012,12705,Bovine meat,0,0,0,1
Meat,T,FR,2014,16783,Bovine meat,0,0,0,1
Meat,T,FR,2015,18906,Bovine meat,0,0,0,1
Meat,T,FR,2016,22441,Bovine meat,0,0,0,1
Meat,T,FR,2017,24949,Bovine meat,0,0,0,1
Meat,T,FR,2018,29388,Bovine meat,0,0,0,1
Meat,T,FR,2019,31973,Bovine meat,0,0,0,1
Meat,T,FR,2020,35448,Bovine meat,0,0,0,1
Meat,T,HR,2014,75,Bovine meat,0,0,0,1
Meat,T,HR,2015,811,Bovine meat,0,0,0,1
Meat,T,HR,2016,1100,Bovine meat,0,0,0,1
Meat,T,HR,2017,1133,Bovine meat,0,0,0,1
Meat,T,HR,2018,1456,Bovine meat,0,0,0,1
Meat,T,HR,2019,1358,Bovine meat,0,0,0,1
Meat,T,HR,2020,1857,Bovine meat,0,0,0,1
Meat,T,HR,2021,2153,Bovine meat,0,0,0,1
Meat,T,HU,2012,443,Bovine meat,0,0,0,1
Meat,T,HU,2013,431,Bovine meat,0,0,0,1
Meat,T,HU,2021,1435,Bovine meat,0,0,0,1
Meat,T,IE,2017,1135,Bovine meat,0,0,0,1
Meat,T,IE,2019,1782,Bovine meat,0,0,0,1
Meat,T,IE,2020,1756,Bovine meat,0,0,0,1
Meat,T,IE,2021,1506,Bovine meat,0,0,0,1
Meat,T,IS,2019,0,Bovine meat,0,0,0,1
Meat,T,IT,2014,44585,Bovine meat,0,0,0,1
Meat,T,IT,2015,25264,Bovine meat,0,0,0,1
Meat,T,LT,2012,1441,Bovine meat,0,0,0,1
Meat,T,LT,2013,2514,Bovine meat,0,0,0,1
Meat,T,LT,2014,3526,Bovine meat,0,0,0,1
Meat,T,LT,2015,2757,Bovine meat,0,0,0,1
Meat,T,LT,2016,,Bovine meat,0,0,0,1
Meat,T,LT,2017,,Bovine meat,0,0,0,1
Meat,T,LT,2018,,Bovine meat,0,0,0,1
Meat,T,LT,2019,,Bovine meat,0,0,0,1
Meat,T,LT,2020,1688,Bovine meat,0,0,0,1
Meat,T,LT,2021,2153,Bovine meat,0,0,0,1
Meat,T,LU,2013,67,Bovine meat,0,0,0,1
Meat,T,LU,2014,69,Bovine meat,0,0,0,1
Meat,T,LU,2015,66,Bovine meat,0,0,0,1
Meat,T,LU,2016,88,Bovine meat,0,0,0,1
Meat,T,LU,2017,90,Bovine meat,0,0,0,1
Meat,T,LU,2018,116,Bovine meat,0,0,0,1
Meat,T,LU,2019,226,Bovine meat,0,0,0,1
Meat,T,LU,2020,243,Bovine meat,0,0,0,1
Meat,T,LU,2021,259,Bovine meat,0,0,0,1
Meat,T,LV,2012,2826,Bovine meat,0,0,0,1
Meat,T,LV,2013,3083,Bovine meat,0,0,0,1
Meat,T,LV,2014,2480,Bovine meat,0,0,0,1
Meat,T,LV,2015,2368,Bovine meat,0,0,0,1
Meat,T,ME,2021,5,Bovine meat,0,0,0,1
Meat,T,MK,2013,0,Bovine meat,0,0,0,1
Meat,T,MK,2014,0,Bovine meat,0,0,0,1
Meat,T,MT,2012,0,Bovine meat,0,0,0,1
Meat,T,MT,2014,0,Bovine meat,0,0,0,1
Meat,T,MT,2015,0,Bovine meat,0,0,0,1
Meat,T,MT,2016,0,Bovine meat,0,0,0,1
Meat,T,MT,2017,0,Bovine meat,0,0,0,1
Meat,T,MT,2018,0,Bovine meat,0,0,0,1
Meat,T,MT,2021,0,Bovine meat,0,0,0,1
Meat,T,NL,2012,3070,Bovine meat,0,0,0,1
Meat,T,NL,2013,2862,Bovine meat,0,0,0,1
Meat,T,NL,2014,2736,Bovine meat,0,0,0,1
Meat,T,NL,2015,2076,Bovine meat,0,0,0,1
Meat,T,NL,2016,2237,Bovine meat,0,0,0,1
Meat,T,NL,2017,2378,Bovine meat,0,0,0,1
Meat,T,NL,2018,2410,Bovine meat,0,0,0,1
Meat,T,NL,2019,2384,Bovine meat,0,0,0,1
Meat,T,NL,2020,2519,Bovine meat,0,0,0,1
Meat,T,NL,2021,2674,Bovine meat,0,0,0,1
Meat,T,NO,2012,1104,Bovine meat,0,0,0,1
Meat,T,NO,2013,1237,Bovine meat,0,0,0,1
Meat,T,NO,2014,1273,Bovine meat,0,0,0,1
Meat,T,NO,2015,1379,Bovine meat,0,0,0,1
Meat,T,NO,2016,1485,Bovine meat,0,0,0,1
Meat,T,NO,2017,1583,Bovine meat,0,0,0,1
Meat,T,NO,2018,1603,Bovine meat,0,0,0,1
Meat,T,NO,2019,1382,Bovine meat,0,0,0,1
Meat,T,NO,2020,1448,Bovine meat,0,0,0,1
Meat,T,PL,2019,0,Bovine meat,0,0,0,1
Meat,T,RO,2014,0,Bovine meat,0,0,0,1
Meat,T,RO,2016,0,Bovine meat,0,0,0,1
Meat,T,RO,2020,0,Bovine meat,0,0,0,1
Meat,T,RO,2021,14,Bovine meat,0,0,0,1
Meat,T,RS,2016,60,Bovine meat,0,0,0,1
Meat,T,RS,2017,27,Bovine meat,0,0,0,1
Meat,T,RS,2018,11,Bovine meat,0,0,0,1
Meat,T,RS,2019,30,Bovine meat,0,0,0,1
Meat,T,SE,2013,18398,Bovine meat,0,0,0,1
Meat,T,SE,2014,19103,Bovine meat,0,0,0,1
Meat,T,SE,2015,18887,Bovine meat,0,0,0,1
Meat,T,SE,2016,19088,Bovine meat,0,0,0,1
Meat,T,SE,2017,19290,Bovine meat,0,0,0,1
Meat,T,SE,2018,21806,Bovine meat,0,0,0,1
Meat,T,SE,2019,22382,Bovine meat,0,0,0,1
Meat,T,SE,2020,21853,Bovine meat,0,0,0,1
Meat,T,SE,2021,20752,Bovine meat,0,0,0,1
Meat,T,SI,2012,268,Bovine meat,0,0,0,1
Meat,T,SI,2014,177,Bovine meat,0,0,0,1
Meat,T,SI,2015,128,Bovine meat,0,0,0,1
Meat,T,SK,2013,70,Bovine meat,0,0,0,1
Meat,T,SK,2015,128,Bovine meat,0,0,0,1
Meat,T,SK,2016,175,Bovine meat,0,0,0,1
Meat,T,SK,2017,36,Bovine meat,0,0,0,1
Meat,T,TR,2013,3126,Bovine meat,0,0,0,1
Meat,T,TR,2014,231,Bovine meat,0,0,0,1
Meat,T,TR,2015,459,Bovine meat,0,0,0,1
Meat,T,TR,2016,74,Bovine meat,0,0,0,1
Meat,T,TR,2017,86,Bovine meat,0,0,0,1
Meat,T,TR,2018,362,Bovine meat,0,0,0,1
Meat,T,TR,2019,122,Bovine meat,0,0,0,1
Meat,T,TR,2021,911,Bovine meat,0,0,0,1
Meat,T,UK,2012,21500,Bovine meat,0,0,0,1
Meat,T,UK,2013,30700,Bovine meat,0,0,0,1
Meat,T,UK,2014,28500,Bovine meat,0,0,0,1
Meat,T,UK,2015,27800,Bovine meat,0,0,0,1
Meat,T,UK,2016,26800,Bovine meat,0,0,0,1
Meat,T,UK,2017,30300,Bovine meat,0,0,0,1
Meat,T,UK,2018,31600,Bovine meat,0,0,0,1
Meat,T,UK,2019,24000,Bovine meat,0,0,0,1
Meat,T,BE,2016,909,Pigmeat ,0,0,0,1
Meat,T,BE,2017,1189,Pigmeat ,0,0,0,1
Meat,T,BE,2018,1297,Pigmeat ,0,0,0,1
Meat,T,BE,2019,1322,Pigmeat ,0,0,0,1
Meat,T,BE,2020,1630,Pigmeat ,0,0,0,1
Meat,T,BG,2012,0,Pigmeat ,0,0,0,1
Meat,T,BG,2014,0,Pigmeat ,0,0,0,1
Meat,T,BG,2015,0,Pigmeat ,0,0,0,1
Meat,T,BG,2016,8,Pigmeat ,0,0,0,1
Meat,T,BG,2017,7,Pigmeat ,0,0,0,1
Meat,T,BG,2018,0,Pigmeat ,0,0,0,1
Meat,T,BG,2019,4,Pigmeat ,0,0,0,1
Meat,T,BG,2020,0,Pigmeat ,0,0,0,1
Meat,T,BG,2021,0,Pigmeat ,0,0,0,1
Meat,T,CY,2012,0,Pigmeat ,0,0,0,1
Meat,T,CY,2013,0,Pigmeat ,0,0,0,1
Meat,T,CY,2019,0,Pigmeat ,0,0,0,1
Meat,T,CY,2020,0,Pigmeat ,0,0,0,1
Meat,T,CY,2021,0,Pigmeat ,0,0,0,1
Meat,T,CZ,2012,123,Pigmeat ,0,0,0,1
Meat,T,CZ,2013,132,Pigmeat ,0,0,0,1
Meat,T,CZ,2014,236,Pigmeat ,0,0,0,1
Meat,T,CZ,2015,111,Pigmeat ,0,0,0,1
Meat,T,CZ,2016,130,Pigmeat ,0,0,0,1
Meat,T,CZ,2017,123,Pigmeat ,0,0,0,1
Meat,T,CZ,2018,157,Pigmeat ,0,0,0,1
Meat,T,CZ,2019,153,Pigmeat ,0,0,0,1
Meat,T,CZ,2020,160,Pigmeat ,0,0,0,1
Meat,T,CZ,2021,183,Pigmeat ,0,0,0,1
Meat,T,DK,2012,8544,Pigmeat ,0,0,0,1
