agriprod,Unit,Country,Year,Value,Description
Dairy,T,LT,2013,53554,Raw milk
Dairy,T,LT,2014,43178,Raw milk
Dairy,T,LT,2015,40060,Raw milk
Dairy,T,LT,2016,41511,Raw milk
Dairy,T,LT,2017,65678,Raw milk
Dairy,T,LT,2018,68133,Raw milk
Dairy,T,LT,2019,75930,Raw milk
Dairy,T,LT,2020,74670,Raw milk
Dairy,T,LT,2021,82911,Raw milk
Dairy,T,LU,2012,2307,Raw milk
Dairy,T,LU,2013,2471,Raw milk
Dairy,T,LU,2014,2455,Raw milk
Dairy,T,LU,2015,2510,Raw milk
Dairy,T,LU,2016,2832,Raw milk
Dairy,T,LU,2017,3277,Raw milk
Dairy,T,LU,2018,4298,Raw milk
Dairy,T,LU,2019,4772,Raw milk
Dairy,T,LU,2020,5864,Raw milk
Dairy,T,LU,2021,5753,Raw milk
Dairy,T,LV,2012,69184,Raw milk
Dairy,T,LV,2013,69999,Raw milk
Dairy,T,LV,2014,75139,Raw milk
Dairy,T,LV,2015,83451,Raw milk
Dairy,T,LV,2016,97981,Raw milk
Dairy,T,LV,2017,96549,Raw milk
Dairy,T,LV,2018,94327,Raw milk
Dairy,T,LV,2019,88116,Raw milk
Dairy,T,LV,2020,87851,Raw milk
Dairy,T,ME,2021,89,Raw milk
Dairy,T,MK,2013,36,Raw milk
Dairy,T,MK,2014,36,Raw milk
Dairy,T,MK,2015,123,Raw milk
Dairy,T,MK,2016,86,Raw milk
Dairy,T,MK,2017,0,Raw milk
Dairy,T,MK,2018,0,Raw milk
Dairy,T,MK,2019,0,Raw milk
Dairy,T,MK,2020,0,Raw milk
Dairy,T,MK,2021,4068,Raw milk
Dairy,T,MT,2012,0,Raw milk
Dairy,T,MT,2013,0,Raw milk
Dairy,T,MT,2014,0,Raw milk
Dairy,T,MT,2015,0,Raw milk
Dairy,T,MT,2016,0,Raw milk
Dairy,T,MT,2017,0,Raw milk
Dairy,T,MT,2018,0,Raw milk
Dairy,T,MT,2019,0,Raw milk
Dairy,T,MT,2020,0,Raw milk
Dairy,T,MT,2021,0,Raw milk
Dairy,T,NL,2012,177620,Raw milk
Dairy,T,NL,2013,191119,Raw milk
Dairy,T,NL,2014,191601,Raw milk
Dairy,T,NL,2015,197956,Raw milk
Dairy,T,NL,2016,218061,Raw milk
Dairy,T,NL,2017,247795,Raw milk
Dairy,T,NL,2018,293681,Raw milk
Dairy,T,NL,2019,301634,Raw milk
Dairy,T,NL,2020,315979,Raw milk
Dairy,T,NL,2021,333838,Raw milk
Dairy,T,NO,2012,55680,Raw milk
Dairy,T,NO,2013,56270,Raw milk
Dairy,T,NO,2014,53526,Raw milk
Dairy,T,NO,2015,53113,Raw milk
Dairy,T,NO,2016,52885,Raw milk
Dairy,T,NO,2017,51864,Raw milk
Dairy,T,NO,2018,51667,Raw milk
Dairy,T,NO,2019,50589,Raw milk
Dairy,T,NO,2020,51165,Raw milk
Dairy,T,PL,2012,35942,Raw milk
Dairy,T,PL,2013,27991,Raw milk
Dairy,T,PL,2014,26583,Raw milk
Dairy,T,PL,2015,25243,Raw milk
Dairy,T,PL,2016,25583,Raw milk
Dairy,T,PL,2017,26734,Raw milk
Dairy,T,PL,2018,26773,Raw milk
Dairy,T,PL,2019,26655,Raw milk
Dairy,T,PL,2020,29493,Raw milk
Dairy,T,RO,2014,35945,Raw milk
Dairy,T,RO,2015,38478,Raw milk
Dairy,T,RO,2016,34995,Raw milk
Dairy,T,RO,2018,28062,Raw milk
Dairy,T,RO,2019,42443,Raw milk
Dairy,T,RO,2020,36140,Raw milk
Dairy,T,RO,2021,39820,Raw milk
Dairy,T,RS,2013,3093,Raw milk
Dairy,T,RS,2014,3883,Raw milk
Dairy,T,RS,2015,6941,Raw milk
Dairy,T,RS,2016,7154,Raw milk
Dairy,T,RS,2017,6567,Raw milk
Dairy,T,RS,2018,7120,Raw milk
Dairy,T,RS,2019,6836,Raw milk
Dairy,T,RS,2020,8615,Raw milk
Dairy,T,SE,2013,365940,Raw milk
Dairy,T,SE,2014,371452,Raw milk
Dairy,T,SE,2015,370259,Raw milk
Dairy,T,SE,2016,371015,Raw milk
Dairy,T,SE,2017,414233,Raw milk
Dairy,T,SE,2018,464970,Raw milk
Dairy,T,SE,2019,464170,Raw milk
Dairy,T,SE,2020,481200,Raw milk
Dairy,T,SE,2021,482320,Raw milk
Dairy,T,SI,2012,4830,Raw milk
Dairy,T,SI,2013,5395,Raw milk
Dairy,T,SI,2014,5626,Raw milk
Dairy,T,SI,2015,6036,Raw milk
Dairy,T,SI,2016,7128,Raw milk
Dairy,T,SI,2017,6051,Raw milk
Dairy,T,SI,2018,7187,Raw milk
Dairy,T,SI,2019,7740,Raw milk
Dairy,T,SI,2020,7715,Raw milk
Dairy,T,SK,2012,19157,Raw milk
Dairy,T,SK,2013,22674,Raw milk
Dairy,T,SK,2014,26299,Raw milk
Dairy,T,SK,2015,9528,Raw milk
Dairy,T,SK,2016,16536,Raw milk
Dairy,T,SK,2017,21140,Raw milk
Dairy,T,SK,2018,25998,Raw milk
Dairy,T,SK,2019,19598,Raw milk
Dairy,T,SK,2020,22577,Raw milk
Dairy,T,TR,2013,54781,Raw milk
Dairy,T,TR,2014,15510,Raw milk
Dairy,T,TR,2015,19739,Raw milk
Dairy,T,TR,2016,21431,Raw milk
Dairy,T,TR,2017,15109,Raw milk
Dairy,T,TR,2018,12884,Raw milk
Dairy,T,TR,2019,5394,Raw milk
Dairy,T,TR,2020,21801,Raw milk
Dairy,T,TR,2021,22818,Raw milk
Dairy,T,UK,2012,417800,Raw milk
Dairy,T,UK,2013,461000,Raw milk
Dairy,T,UK,2014,481600,Raw milk
Dairy,T,UK,2015,489300,Raw milk
Dairy,T,UK,2016,519500,Raw milk
Dairy,T,UK,2017,492000,Raw milk
Dairy,T,UK,2018,564000,Raw milk
Dairy,T,UK,2019,573500,Raw milk
Dairy,T,AT,2018,635751,Raw milk
Dairy,T,AT,2019,642340,Raw milk
Dairy,T,AT,2021,661688,Raw milk
Dairy,T,BE,2016,89375,Raw milk
Dairy,T,BE,2017,108545,Raw milk
Dairy,T,BE,2018,116208,Raw milk
Dairy,T,BE,2019,121225,Raw milk
Dairy,T,BE,2020,131263,Raw milk
Dairy,T,BG,2012,0,Raw milk
Dairy,T,BG,2013,827,Raw milk
Dairy,T,BG,2014,1124,Raw milk
Dairy,T,BG,2015,5468,Raw milk
Dairy,T,BG,2016,6973,Raw milk
Dairy,T,BG,2017,6430,Raw milk
Dairy,T,BG,2018,2646,Raw milk
Dairy,T,BG,2019,8071,Raw milk
Dairy,T,BG,2020,8978,Raw milk
Dairy,T,BG,2021,9276,Raw milk
Dairy,T,CY,2012,0,Raw milk
Dairy,T,CY,2013,0,Raw milk
Dairy,T,CY,2014,0,Raw milk
Dairy,T,CY,2015,130,Raw milk
Dairy,T,CY,2016,619,Raw milk
Dairy,T,CY,2017,1371,Raw milk
Dairy,T,CY,2018,2165,Raw milk
Dairy,T,CY,2019,3218,Raw milk
Dairy,T,CY,2020,2894,Raw milk
Dairy,T,CY,2021,2785,Raw milk
Dairy,T,CZ,2012,30680,Raw milk
Dairy,T,CZ,2013,32206,Raw milk
Dairy,T,CZ,2014,29908,Raw milk
Dairy,T,CZ,2015,32607,Raw milk
Dairy,T,CZ,2016,32754,Raw milk
Dairy,T,CZ,2017,32207,Raw milk
Dairy,T,CZ,2018,33309,Raw milk
Dairy,T,CZ,2019,33459,Raw milk
Dairy,T,CZ,2020,32035,Raw milk
Dairy,T,CZ,2021,32361,Raw milk
Dairy,T,DE,2021,1266219,Raw milk
Dairy,T,DK,2012,479100,Raw milk
Dairy,T,DK,2013,481670,Raw milk
Dairy,T,DK,2014,487100,Raw milk
Dairy,T,DK,2015,483350,Raw milk
Dairy,T,DK,2016,516131,Raw milk
Dairy,T,DK,2017,594000,Raw milk
Dairy,T,DK,2018,689600,Raw milk
Dairy,T,DK,2019,708400,Raw milk
Dairy,T,EE,2012,12174,Raw milk
Dairy,T,EE,2013,10180,Raw milk
Dairy,T,EE,2014,9280,Raw milk
Dairy,T,EE,2015,8641,Raw milk
Dairy,T,EE,2016,10535,Raw milk
Dairy,T,EE,2017,7026,Raw milk
Dairy,T,EE,2018,7218,Raw milk
Dairy,T,EE,2019,8098,Raw milk
Dairy,T,EE,2020,8797,Raw milk
Dairy,T,EE,2021,8909,Raw milk
Dairy,T,ES,2012,11333,Raw milk
Dairy,T,ES,2013,12638,Raw milk
Dairy,T,ES,2014,11593,Raw milk
Dairy,T,ES,2015,13002,Raw milk
Dairy,T,ES,2016,15146,Raw milk
Dairy,T,ES,2017,18672,Raw milk
Dairy,T,ES,2018,27837,Raw milk
Dairy,T,ES,2019,40450,Raw milk
Dairy,T,ES,2020,48545,Raw milk
Dairy,T,ES,2021,53467,Raw milk
Dairy,T,FI,2012,37569,Raw milk
Dairy,T,FI,2013,42450,Raw milk
Dairy,T,FI,2014,48583,Raw milk
Dairy,T,FI,2015,55800,Raw milk
Dairy,T,FI,2016,56786,Raw milk
Dairy,T,FI,2017,64460,Raw milk
Dairy,T,FI,2018,71028,Raw milk
Dairy,T,FI,2019,76214,Raw milk
Dairy,T,FI,2020,81378,Raw milk
Dairy,T,FR,2012,460778,Raw milk
Dairy,T,FR,2013,506984,Raw milk
Dairy,T,FR,2014,550760,Raw milk
Dairy,T,FR,2015,588489,Raw milk
Dairy,T,FR,2016,581280,Raw milk
Dairy,T,FR,2017,649289,Raw milk
Dairy,T,FR,2018,872208,Raw milk
Dairy,T,FR,2019,1031059,Raw milk
Dairy,T,FR,2020,1163967,Raw milk
Dairy,T,HR,2012,1627,Raw milk
Dairy,T,HR,2013,2797,Raw milk
Dairy,T,HR,2014,1700,Raw milk
Dairy,T,HR,2015,5947,Raw milk
Dairy,T,HR,2016,5023,Raw milk
Dairy,T,HR,2017,5671,Raw milk
Dairy,T,HR,2018,2846,Raw milk
Dairy,T,HR,2019,1087,Raw milk
Dairy,T,HR,2020,1555,Raw milk
Dairy,T,HR,2021,754,Raw milk
Dairy,T,HU,2012,9308,Raw milk
Dairy,T,HU,2013,9353,Raw milk
Dairy,T,HU,2021,6281,Raw milk
Dairy,T,IE,2013,6999,Raw milk
Dairy,T,IE,2015,5972,Raw milk
Dairy,T,IE,2019,11037,Raw milk
Dairy,T,IE,2021,14010,Raw milk
Dairy,T,IS,2019,379,Raw milk
Dairy,T,IS,2020,390,Raw milk
Dairy,T,IT,2012,162504,Raw milk
Dairy,T,IT,2013,291693,Raw milk
Dairy,T,IT,2014,400000,Raw milk
Dairy,T,IT,2015,214627,Raw milk
Dairy,T,LT,2012,48307,Raw milk
Dairy,T,LT,2013,52670,Raw milk
Dairy,T,LT,2014,43025,Raw milk
Dairy,T,LT,2015,39890,Raw milk
Dairy,T,LT,2016,41395,Raw milk
Dairy,T,LT,2017,65560,Raw milk
Dairy,T,LT,2018,68047,Raw milk
Dairy,T,LT,2019,75862,Raw milk
Dairy,T,LT,2020,74633,Raw milk
Dairy,T,LT,2021,82865,Raw milk
Dairy,T,LU,2012,,Raw milk
Dairy,T,LU,2013,,Raw milk
Dairy,T,LU,2014,,Raw milk
Dairy,T,LU,2015,,Raw milk
Dairy,T,LU,2016,,Raw milk
Dairy,T,LU,2017,,Raw milk
Dairy,T,LU,2018,,Raw milk
Dairy,T,LU,2019,,Raw milk
Dairy,T,LU,2020,,Raw milk
Dairy,T,LU,2021,,Raw milk
Dairy,T,LV,2012,68981,Raw milk
Dairy,T,LV,2013,69717,Raw milk
Dairy,T,LV,2014,75020,Raw milk
Dairy,T,LV,2015,83194,Raw milk
Dairy,T,LV,2016,97699,Raw milk
Dairy,T,LV,2017,96147,Raw milk
Dairy,T,LV,2018,93851,Raw milk
Dairy,T,ME,2021,70,Raw milk
Dairy,T,MK,2013,0,Raw milk
Dairy,T,MK,2021,234,Raw milk
Dairy,T,MT,2012,0,Raw milk
Dairy,T,MT,2014,0,Raw milk
Dairy,T,MT,2015,0,Raw milk
Dairy,T,MT,2016,0,Raw milk
Dairy,T,MT,2017,0,Raw milk
Dairy,T,MT,2018,0,Raw milk
Dairy,T,MT,2021,0,Raw milk
Dairy,T,NL,2012,160510,Raw milk
Dairy,T,NL,2013,171234,Raw milk
Dairy,T,NL,2014,172907,Raw milk
Dairy,T,NL,2015,177695,Raw milk
Dairy,T,NL,2016,198576,Raw milk
Dairy,T,NL,2017,223181,Raw milk
Dairy,T,NL,2018,260260,Raw milk
Dairy,T,NL,2019,265314,Raw milk
Dairy,T,NL,2020,280287,Raw milk
Dairy,T,NL,2021,296192,Raw milk
Dairy,T,NO,2012,55680,Raw milk
Dairy,T,NO,2013,56270,Raw milk
Dairy,T,NO,2014,53526,Raw milk
Dairy,T,NO,2015,53113,Raw milk
Dairy,T,NO,2016,52885,Raw milk
Dairy,T,NO,2017,51864,Raw milk
Dairy,T,NO,2018,51667,Raw milk
Dairy,T,NO,2019,50589,Raw milk
Dairy,T,NO,2020,51165,Raw milk
Dairy,T,PL,2012,35154,Raw milk
Dairy,T,PL,2013,27324,Raw milk
Dairy,T,PL,2014,25943,Raw milk
Dairy,T,PL,2015,24524,Raw milk
Dairy,T,PL,2016,24881,Raw milk
Dairy,T,PL,2017,26018,Raw milk
Dairy,T,PL,2018,26017,Raw milk
Dairy,T,PL,2019,25946,Raw milk
Dairy,T,PL,2020,28806,Raw milk
Dairy,T,RO,2014,33103,Raw milk
Dairy,T,RO,2016,31551,Raw milk
Dairy,T,RO,2019,39609,Raw milk
Dairy,T,RO,2020,35775,Raw milk
Dairy,T,RO,2021,39184,Raw milk
Dairy,T,RS,2013,3093,Raw milk
Dairy,T,RS,2016,7154,Raw milk
Dairy,T,RS,2017,6567,Raw milk
Dairy,T,RS,2018,7110,Raw milk
Dairy,T,RS,2019,6815,Raw milk
Dairy,T,SE,2013,365940,Raw milk
Dairy,T,SE,2014,371452,Raw milk
Dairy,T,SE,2015,370259,Raw milk
Dairy,T,SE,2016,371015,Raw milk
Dairy,T,SE,2017,414233,Raw milk
Dairy,T,SE,2018,464970,Raw milk
Dairy,T,SE,2019,464170,Raw milk
Dairy,T,SE,2020,481200,Raw milk
Dairy,T,SE,2021,482320,Raw milk
Dairy,T,SI,2012,4591,Raw milk
Dairy,T,SI,2013,5122,Raw milk
Dairy,T,SI,2014,5416,Raw milk
Dairy,T,SI,2015,5832,Raw milk
Dairy,T,SK,2012,17558,Raw milk
Dairy,T,SK,2013,20941,Raw milk
Dairy,T,SK,2014,24491,Raw milk
Dairy,T,SK,2015,8800,Raw milk
Dairy,T,SK,2016,15349,Raw milk
Dairy,T,SK,2017,19184,Raw milk
Dairy,T,SK,2018,24811,Raw milk
Dairy,T,TR,2013,51003,Raw milk
Dairy,T,TR,2014,15113,Raw milk
Dairy,T,TR,2015,18120,Raw milk
Dairy,T,TR,2016,20298,Raw milk
Dairy,T,TR,2017,14674,Raw milk
Dairy,T,TR,2018,12293,Raw milk
Dairy,T,TR,2019,5148,Raw milk
Dairy,T,TR,2021,22500,Raw milk
Dairy,T,UK,2012,417800,Raw milk
Dairy,T,UK,2013,461000,Raw milk
Dairy,T,UK,2014,481600,Raw milk
Dairy,T,UK,2015,489300,Raw milk
Dairy,T,UK,2016,519500,Raw milk
Dairy,T,UK,2017,492000,Raw milk
Dairy,T,UK,2018,564000,Raw milk
Dairy,T,UK,2019,573500,Raw milk
Dairy,T,AT,2016,105738,Raw milk
Dairy,T,AT,2017,114411,Raw milk
Dairy,T,AT,2018,120142,Raw milk
Dairy,T,AT,2019,130055,Raw milk
Dairy,T,AT,2020,148563,Raw milk
Dairy,T,AT,2021,147684,Raw milk
Dairy,T,BG,2012,197,Raw milk
Dairy,T,BG,2013,226,Raw milk
Dairy,T,BG,2014,13,Raw milk
Dairy,T,BG,2015,99,Raw milk
Dairy,T,BG,2016,253,Raw milk
Dairy,T,BG,2017,845,Raw milk
Dairy,T,BG,2018,547,Raw milk
Dairy,T,BG,2019,87,Raw milk
Dairy,T,BG,2020,136,Raw milk
Dairy,T,BG,2021,349,Raw milk
Dairy,T,CY,2013,264,Raw milk
Dairy,T,CY,2014,484,Raw milk
Dairy,T,CY,2015,430,Raw milk
Dairy,T,CY,2016,509,Raw milk
Dairy,T,CY,2017,702,Raw milk
Dairy,T,CY,2018,1112,Raw milk
Dairy,T,CY,2019,1429,Raw milk
Dairy,T,CY,2020,1320,Raw milk
Dairy,T,CY,2021,504,Raw milk
Dairy,T,CZ,2012,835,Raw milk
Dairy,T,CZ,2013,65,Raw milk
Dairy,T,CZ,2014,46,Raw milk
Dairy,T,CZ,2015,193,Raw milk
Dairy,T,CZ,2016,205,Raw milk
Dairy,T,CZ,2017,251,Raw milk
Dairy,T,CZ,2018,313,Raw milk
Dairy,T,CZ,2019,316,Raw milk
Dairy,T,CZ,2020,355,Raw milk
Dairy,T,CZ,2021,297,Raw milk
Dairy,T,DE,2012,254792,Raw milk
Dairy,T,DE,2013,250559,Raw milk
Dairy,T,DE,2014,286700,Raw milk
Dairy,T,DE,2015,297228,Raw milk
Dairy,T,DE,2016,334443,Raw milk
Dairy,T,DE,2017,354246,Raw milk
Dairy,T,DE,2018,368560,Raw milk
Dairy,T,DE,2019,392526,Raw milk
Dairy,T,DE,2020,447365,Raw milk
Dairy,T,DE,2021,463260,Raw milk
Dairy,T,DK,2012,170834,Raw milk
Dairy,T,DK,2013,171530,Raw milk
Dairy,T,DK,2014,150844,Raw milk
Dairy,T,DK,2015,147607,Raw milk
Dairy,T,DK,2016,145200,Raw milk
Dairy,T,DK,2017,148800,Raw milk
Dairy,T,DK,2018,164300,Raw milk
Dairy,T,DK,2019,166000,Raw milk
Dairy,T,DK,2020,163700,Raw milk
Dairy,T,EE,2012,0,Raw milk
Dairy,T,EE,2013,186,Raw milk
Dairy,T,EE,2015,528,Raw milk
Dairy,T,EE,2016,277,Raw milk
Dairy,T,EE,2017,843,Raw milk
Dairy,T,EE,2018,999,Raw milk
Dairy,T,EE,2019,1122,Raw milk
Dairy,T,EE,2020,1257,Raw milk
Dairy,T,EE,2021,701,Raw milk
Dairy,T,EL,2012,9440,Raw milk
Dairy,T,EL,2013,8759,Raw milk
Dairy,T,EL,2014,6960,Raw milk
Dairy,T,EL,2015,14763,Raw milk
Dairy,T,EL,2016,9321,Raw milk
Dairy,T,EL,2017,10576,Raw milk
Dairy,T,EL,2018,10823,Raw milk
Dairy,T,EL,2019,10794,Raw milk
Dairy,T,EL,2020,9080,Raw milk
Dairy,T,ES,2012,2311,Raw milk
Dairy,T,ES,2013,1071,Raw milk
Dairy,T,ES,2014,2151,Raw milk
Dairy,T,ES,2015,3531,Raw milk
Dairy,T,ES,2016,11435,Raw milk
Dairy,T,ES,2017,17233,Raw milk
Dairy,T,ES,2018,21682,Raw milk
Dairy,T,ES,2019,26344,Raw milk
Dairy,T,ES,2020,26898,Raw milk
Dairy,T,ES,2021,27515,Raw milk
Dairy,T,FI,2012,16862,Raw milk
Dairy,T,FI,2015,,Raw milk
Dairy,T,FI,2016,,Raw milk
Dairy,T,FI,2017,,Raw milk
Dairy,T,FI,2018,,Raw milk
Dairy,T,FI,2019,,Raw milk
Dairy,T,FI,2020,,Raw milk
Dairy,T,FR,2012,197408,Raw milk
Dairy,T,FR,2013,217473,Raw milk
Dairy,T,FR,2014,245604,Raw milk
Dairy,T,FR,2015,270386,Raw milk
Dairy,T,FR,2016,278592,Raw milk
Dairy,T,FR,2017,316202,Raw milk
Dairy,T,FR,2018,328672,Raw milk
Dairy,T,FR,2019,362228,Raw milk
Dairy,T,FR,2020,415555,Raw milk
Dairy,T,HR,2012,222,Raw milk
Dairy,T,HR,2013,2600,Raw milk
Dairy,T,HR,2014,0,Raw milk
Dairy,T,HR,2015,0,Raw milk
Dairy,T,HR,2018,117,Raw milk
Dairy,T,HR,2019,105,Raw milk
Dairy,T,HR,2020,0,Raw milk
Dairy,T,HR,2021,2,Raw milk
Dairy,T,HU,2012,6379,Raw milk
Dairy,T,HU,2013,6360,Raw milk
Dairy,T,HU,2014,5978,Raw milk
Dairy,T,HU,2015,7786,Raw milk
Dairy,T,HU,2016,9907,Raw milk
Dairy,T,HU,2017,9711,Raw milk
Dairy,T,HU,2018,3399,Raw milk
Dairy,T,HU,2019,3589,Raw milk
Dairy,T,HU,2020,2311,Raw milk
Dairy,T,HU,2021,4356,Raw milk
Dairy,T,IE,2014,7100,Raw milk
Dairy,T,IE,2015,2359,Raw milk
Dairy,T,IE,2016,536,Raw milk
Dairy,T,IE,2017,394,Raw milk
Dairy,T,IE,2018,9316,Raw milk
Dairy,T,IE,2019,1123,Raw milk
Dairy,T,IE,2020,2827,Raw milk
Dairy,T,IE,2021,3238,Raw milk
Dairy,T,IS,2019,35,Raw milk
Dairy,T,IS,2020,47,Raw milk
Dairy,T,IT,2012,20035,Raw milk
Dairy,T,IT,2013,23685,Raw milk
Dairy,T,IT,2014,27661,Raw milk
Dairy,T,IT,2015,23544,Raw milk
Dairy,T,IT,2016,27491,Raw milk
Dairy,T,LT,2014,1971,Raw milk
Dairy,T,LT,2015,1683,Raw milk
Dairy,T,LT,2016,1740,Raw milk
Dairy,T,LT,2017,1986,Raw milk
Dairy,T,LT,2018,2946,Raw milk
Dairy,T,LT,2019,2867,Raw milk
Dairy,T,LT,2020,2691,Raw milk
