,memberStateCode,memberStateName,beginDate,endDate,month,monthName,price,unit,year,product
36,IT,17,01/11/2022,30/11/2022,11,Nov,55.35,100,2022,Raw milk
37,LV,18,01/11/2022,30/11/2022,11,Nov,49.05,100,2022,Raw milk
38,LT,19,01/11/2022,30/11/2022,11,Nov,54.62,100,2022,Raw milk
39,MT,21,01/11/2022,30/11/2022,11,Nov,62.95,100,2022,Raw milk
40,NL,22,01/11/2022,30/11/2022,11,Nov,62.25,100,2022,Raw milk
41,PL,23,01/11/2022,30/11/2022,11,Nov,58.36,100,2022,Raw milk
42,PT,24,01/11/2022,30/11/2022,11,Nov,54.44,100,2022,Raw milk
43,RO,25,01/11/2022,30/11/2022,11,Nov,58.48,100,2022,Raw milk
44,SK,26,01/11/2022,30/11/2022,11,Nov,50.78,100,2022,Raw milk
45,SI,27,01/11/2022,30/11/2022,11,Nov,54.95,100,2022,Raw milk
46,ES,28,01/11/2022,30/11/2022,11,Nov,56.99,100,2022,Raw milk
47,SE,29,01/11/2022,30/11/2022,11,Nov,58.42,100,2022,Raw milk
48,AT,1,01/10/2022,31/10/2022,10,Oct,57.08,100,2022,Raw milk
49,BE,2,01/10/2022,31/10/2022,10,Oct,59.06,100,2022,Raw milk
50,BG,3,01/10/2022,31/10/2022,10,Oct,50.06,100,2022,Raw milk
51,HR,4,01/10/2022,31/10/2022,10,Oct,49.38,100,2022,Raw milk
52,CY,5,01/10/2022,31/10/2022,10,Oct,63.90,100,2022,Raw milk
53,CZ,6,01/10/2022,31/10/2022,10,Oct,50.50,100,2022,Raw milk
54,DK,7,01/10/2022,31/10/2022,10,Oct,59.96,100,2022,Raw milk
55,EE,8,01/10/2022,31/10/2022,10,Oct,51.89,100,2022,Raw milk
56,EU-UK,9,01/10/2022,31/10/2022,10,Oct,56.63,100,2022,Raw milk
57,FI,11,01/10/2022,31/10/2022,10,Oct,55.41,100,2022,Raw milk
58,FR,12,01/10/2022,31/10/2022,10,Oct,48.26,100,2022,Raw milk
59,DE,13,01/10/2022,31/10/2022,10,Oct,60.56,100,2022,Raw milk
60,EL,14,01/10/2022,31/10/2022,10,Oct,58.96,100,2022,Raw milk
61,HU,15,01/10/2022,31/10/2022,10,Oct,48.92,100,2022,Raw milk
62,IE,16,01/10/2022,31/10/2022,10,Oct,68.47,100,2022,Raw milk
63,IT,17,01/10/2022,31/10/2022,10,Oct,55.35,100,2022,Raw milk
64,LV,18,01/10/2022,31/10/2022,10,Oct,49.21,100,2022,Raw milk
65,LT,19,01/10/2022,31/10/2022,10,Oct,55.25,100,2022,Raw milk
66,MT,21,01/10/2022,31/10/2022,10,Oct,62.95,100,2022,Raw milk
67,NL,22,01/10/2022,31/10/2022,10,Oct,62.25,100,2022,Raw milk
68,PL,23,01/10/2022,31/10/2022,10,Oct,54.73,100,2022,Raw milk
69,PT,24,01/10/2022,31/10/2022,10,Oct,52.01,100,2022,Raw milk
70,RO,25,01/10/2022,31/10/2022,10,Oct,53.82,100,2022,Raw milk
71,SK,26,01/10/2022,31/10/2022,10,Oct,49.33,100,2022,Raw milk
72,SI,27,01/10/2022,31/10/2022,10,Oct,53.60,100,2022,Raw milk
73,ES,28,01/10/2022,31/10/2022,10,Oct,53.98,100,2022,Raw milk
74,SE,29,01/10/2022,31/10/2022,10,Oct,56.70,100,2022,Raw milk
75,AT,1,01/09/2022,30/09/2022,9,Sep,54.83,100,2022,Raw milk
76,BE,2,01/09/2022,30/09/2022,9,Sep,57.98,100,2022,Raw milk
77,BG,3,01/09/2022,30/09/2022,9,Sep,45.87,100,2022,Raw milk
78,HR,4,01/09/2022,30/09/2022,9,Sep,44.28,100,2022,Raw milk
79,CY,5,01/09/2022,30/09/2022,9,Sep,62.90,100,2022,Raw milk
80,CZ,6,01/09/2022,30/09/2022,9,Sep,48.63,100,2022,Raw milk
81,DK,7,01/09/2022,30/09/2022,9,Sep,58.90,100,2022,Raw milk
82,EE,8,01/09/2022,30/09/2022,9,Sep,50.05,100,2022,Raw milk
83,EU-UK,9,01/09/2022,30/09/2022,9,Sep,54.53,100,2022,Raw milk
84,FI,11,01/09/2022,30/09/2022,9,Sep,52.84,100,2022,Raw milk
85,FR,12,01/09/2022,30/09/2022,9,Sep,46.28,100,2022,Raw milk
86,DE,13,01/09/2022,30/09/2022,9,Sep,58.59,100,2022,Raw milk
87,EL,14,01/09/2022,30/09/2022,9,Sep,58.12,100,2022,Raw milk
88,HU,15,01/09/2022,30/09/2022,9,Sep,47.90,100,2022,Raw milk
89,IE,16,01/09/2022,30/09/2022,9,Sep,64.29,100,2022,Raw milk
90,IT,17,01/09/2022,30/09/2022,9,Sep,54.34,100,2022,Raw milk
91,LV,18,01/09/2022,30/09/2022,9,Sep,49.26,100,2022,Raw milk
92,LT,19,01/09/2022,30/09/2022,9,Sep,52.65,100,2022,Raw milk
93,MT,21,01/09/2022,30/09/2022,9,Sep,63.36,100,2022,Raw milk
94,NL,22,01/09/2022,30/09/2022,9,Sep,61.25,100,2022,Raw milk
95,PL,23,01/09/2022,30/09/2022,9,Sep,53.18,100,2022,Raw milk
96,PT,24,01/09/2022,30/09/2022,9,Sep,43.72,100,2022,Raw milk
97,RO,25,01/09/2022,30/09/2022,9,Sep,53.02,100,2022,Raw milk
98,SK,26,01/09/2022,30/09/2022,9,Sep,47.12,100,2022,Raw milk
99,SI,27,01/09/2022,30/09/2022,9,Sep,50.88,100,2022,Raw milk
100,ES,28,01/09/2022,30/09/2022,9,Sep,48.06,100,2022,Raw milk
101,SE,29,01/09/2022,30/09/2022,9,Sep,54.85,100,2022,Raw milk
102,AT,1,01/08/2022,31/08/2022,8,Aug,52.37,100,2022,Raw milk
103,BE,2,01/08/2022,31/08/2022,8,Aug,56.22,100,2022,Raw milk
104,BG,3,01/08/2022,31/08/2022,8,Aug,43.32,100,2022,Raw milk
105,HR,4,01/08/2022,31/08/2022,8,Aug,43.22,100,2022,Raw milk
106,CY,5,01/08/2022,31/08/2022,8,Aug,62.09,100,2022,Raw milk
107,CZ,6,01/08/2022,31/08/2022,8,Aug,47.10,100,2022,Raw milk
108,DK,7,01/08/2022,31/08/2022,8,Aug,58.88,100,2022,Raw milk
109,EE,8,01/08/2022,31/08/2022,8,Aug,48.02,100,2022,Raw milk
110,EU-UK,9,01/08/2022,31/08/2022,8,Aug,52.37,100,2022,Raw milk
111,FI,11,01/08/2022,31/08/2022,8,Aug,50.12,100,2022,Raw milk
112,FR,12,01/08/2022,31/08/2022,8,Aug,44.85,100,2022,Raw milk
113,DE,13,01/08/2022,31/08/2022,8,Aug,56.19,100,2022,Raw milk
114,EL,14,01/08/2022,31/08/2022,8,Aug,56.09,100,2022,Raw milk
115,HU,15,01/08/2022,31/08/2022,8,Aug,45.22,100,2022,Raw milk
116,IE,16,01/08/2022,31/08/2022,8,Aug,59.73,100,2022,Raw milk
117,IT,17,01/08/2022,31/08/2022,8,Aug,50.98,100,2022,Raw milk
118,LV,18,01/08/2022,31/08/2022,8,Aug,49.77,100,2022,Raw milk
119,LT,19,01/08/2022,31/08/2022,8,Aug,51.23,100,2022,Raw milk
120,MT,21,01/08/2022,31/08/2022,8,Aug,61.90,100,2022,Raw milk
121,NL,22,01/08/2022,31/08/2022,8,Aug,60.00,100,2022,Raw milk
122,PL,23,01/08/2022,31/08/2022,8,Aug,50.88,100,2022,Raw milk
123,PT,24,01/08/2022,31/08/2022,8,Aug,40.49,100,2022,Raw milk
124,RO,25,01/08/2022,31/08/2022,8,Aug,46.07,100,2022,Raw milk
125,SK,26,01/08/2022,31/08/2022,8,Aug,45.28,100,2022,Raw milk
126,SI,27,01/08/2022,31/08/2022,8,Aug,47.86,100,2022,Raw milk
127,ES,28,01/08/2022,31/08/2022,8,Aug,46.21,100,2022,Raw milk
128,SE,29,01/08/2022,31/08/2022,8,Aug,53.85,100,2022,Raw milk
129,AT,1,01/07/2022,31/07/2022,7,Jul,51.11,100,2022,Raw milk
130,BE,2,01/07/2022,31/07/2022,7,Jul,55.50,100,2022,Raw milk
131,BG,3,01/07/2022,31/07/2022,7,Jul,42.12,100,2022,Raw milk
132,HR,4,01/07/2022,31/07/2022,7,Jul,41.18,100,2022,Raw milk
133,CY,5,01/07/2022,31/07/2022,7,Jul,57.26,100,2022,Raw milk
134,CZ,6,01/07/2022,31/07/2022,7,Jul,45.99,100,2022,Raw milk
135,DK,7,01/07/2022,31/07/2022,7,Jul,57.78,100,2022,Raw milk
136,EE,8,01/07/2022,31/07/2022,7,Jul,46.74,100,2022,Raw milk
137,EU-UK,9,01/07/2022,31/07/2022,7,Jul,51.08,100,2022,Raw milk
138,FI,11,01/07/2022,31/07/2022,7,Jul,49.26,100,2022,Raw milk
139,FR,12,01/07/2022,31/07/2022,7,Jul,44.12,100,2022,Raw milk
140,DE,13,01/07/2022,31/07/2022,7,Jul,54.40,100,2022,Raw milk
141,EL,14,01/07/2022,31/07/2022,7,Jul,54.43,100,2022,Raw milk
142,HU,15,01/07/2022,31/07/2022,7,Jul,42.42,100,2022,Raw milk
143,IE,16,01/07/2022,31/07/2022,7,Jul,57.78,100,2022,Raw milk
144,IT,17,01/07/2022,31/07/2022,7,Jul,48.19,100,2022,Raw milk
145,LV,18,01/07/2022,31/07/2022,7,Jul,49.61,100,2022,Raw milk
146,LT,19,01/07/2022,31/07/2022,7,Jul,51.24,100,2022,Raw milk
147,MT,21,01/07/2022,31/07/2022,7,Jul,61.68,100,2022,Raw milk
148,NL,22,01/07/2022,31/07/2022,7,Jul,60.00,100,2022,Raw milk
149,PL,23,01/07/2022,31/07/2022,7,Jul,49.50,100,2022,Raw milk
150,PT,24,01/07/2022,31/07/2022,7,Jul,40.14,100,2022,Raw milk
151,RO,25,01/07/2022,31/07/2022,7,Jul,49.10,100,2022,Raw milk
152,SK,26,01/07/2022,31/07/2022,7,Jul,43.60,100,2022,Raw milk
153,SI,27,01/07/2022,31/07/2022,7,Jul,45.72,100,2022,Raw milk
154,ES,28,01/07/2022,31/07/2022,7,Jul,44.95,100,2022,Raw milk
155,SE,29,01/07/2022,31/07/2022,7,Jul,52.24,100,2022,Raw milk
156,AT,1,01/06/2022,30/06/2022,6,Jun,47.97,100,2022,Raw milk
157,BE,2,01/06/2022,30/06/2022,6,Jun,54.86,100,2022,Raw milk
158,BG,3,01/06/2022,30/06/2022,6,Jun,40.82,100,2022,Raw milk
159,HR,4,01/06/2022,30/06/2022,6,Jun,41.09,100,2022,Raw milk
160,CY,5,01/06/2022,30/06/2022,6,Jun,57.04,100,2022,Raw milk
161,CZ,6,01/06/2022,30/06/2022,6,Jun,44.46,100,2022,Raw milk
162,DK,7,01/06/2022,30/06/2022,6,Jun,55.65,100,2022,Raw milk
163,EE,8,01/06/2022,30/06/2022,6,Jun,45.78,100,2022,Raw milk
164,EU-UK,9,01/06/2022,30/06/2022,6,Jun,49.40,100,2022,Raw milk
165,FI,11,01/06/2022,30/06/2022,6,Jun,47.39,100,2022,Raw milk
166,FR,12,01/06/2022,30/06/2022,6,Jun,43.84,100,2022,Raw milk
167,DE,13,01/06/2022,30/06/2022,6,Jun,51.73,100,2022,Raw milk
168,EL,14,01/06/2022,30/06/2022,6,Jun,51.90,100,2022,Raw milk
169,HU,15,01/06/2022,30/06/2022,6,Jun,40.42,100,2022,Raw milk
170,IE,16,01/06/2022,30/06/2022,6,Jun,55.45,100,2022,Raw milk
171,IT,17,01/06/2022,30/06/2022,6,Jun,48.19,100,2022,Raw milk
172,LV,18,01/06/2022,30/06/2022,6,Jun,48.60,100,2022,Raw milk
173,LT,19,01/06/2022,30/06/2022,6,Jun,51.88,100,2022,Raw milk
174,MT,21,01/06/2022,30/06/2022,6,Jun,61.90,100,2022,Raw milk
175,NL,22,01/06/2022,30/06/2022,6,Jun,56.50,100,2022,Raw milk
176,PL,23,01/06/2022,30/06/2022,6,Jun,49.24,100,2022,Raw milk
177,PT,24,01/06/2022,30/06/2022,6,Jun,38.19,100,2022,Raw milk
178,RO,25,01/06/2022,30/06/2022,6,Jun,44.58,100,2022,Raw milk
179,SK,26,01/06/2022,30/06/2022,6,Jun,41.86,100,2022,Raw milk
180,SI,27,01/06/2022,30/06/2022,6,Jun,43.92,100,2022,Raw milk
181,ES,28,01/06/2022,30/06/2022,6,Jun,42.52,100,2022,Raw milk
182,SE,29,01/06/2022,30/06/2022,6,Jun,49.77,100,2022,Raw milk
183,AT,1,01/05/2022,31/05/2022,5,May,47.54,100,2022,Raw milk
184,BE,2,01/05/2022,31/05/2022,5,May,51.56,100,2022,Raw milk
185,BG,3,01/05/2022,31/05/2022,5,May,40.14,100,2022,Raw milk
186,HR,4,01/05/2022,31/05/2022,5,May,39.81,100,2022,Raw milk
187,CY,5,01/05/2022,31/05/2022,5,May,57.52,100,2022,Raw milk
188,CZ,6,01/05/2022,31/05/2022,5,May,43.48,100,2022,Raw milk
189,DK,7,01/05/2022,31/05/2022,5,May,50.67,100,2022,Raw milk
190,EE,8,01/05/2022,31/05/2022,5,May,43.88,100,2022,Raw milk
191,EU-UK,9,01/05/2022,31/05/2022,5,May,47.99,100,2022,Raw milk
192,FI,11,01/05/2022,31/05/2022,5,May,46.99,100,2022,Raw milk
193,FR,12,01/05/2022,31/05/2022,5,May,43.12,100,2022,Raw milk
194,DE,13,01/05/2022,31/05/2022,5,May,51.73,100,2022,Raw milk
195,EL,14,01/05/2022,31/05/2022,5,May,49.60,100,2022,Raw milk
196,HU,15,01/05/2022,31/05/2022,5,May,39.68,100,2022,Raw milk
197,IE,16,01/05/2022,31/05/2022,5,May,53.61,100,2022,Raw milk
198,IT,17,01/05/2022,31/05/2022,5,May,47.17,100,2022,Raw milk
199,LV,18,01/05/2022,31/05/2022,5,May,47.26,100,2022,Raw milk
200,LT,19,01/05/2022,31/05/2022,5,May,52.72,100,2022,Raw milk
201,MT,21,01/05/2022,31/05/2022,5,May,61.97,100,2022,Raw milk
202,NL,22,01/05/2022,31/05/2022,5,May,52.50,100,2022,Raw milk
203,PL,23,01/05/2022,31/05/2022,5,May,46.49,100,2022,Raw milk
204,PT,24,01/05/2022,31/05/2022,5,May,38.22,100,2022,Raw milk
205,RO,25,01/05/2022,31/05/2022,5,May,42.40,100,2022,Raw milk
206,SK,26,01/05/2022,31/05/2022,5,May,40.38,100,2022,Raw milk
207,SI,27,01/05/2022,31/05/2022,5,May,42.14,100,2022,Raw milk
208,ES,28,01/05/2022,31/05/2022,5,May,41.84,100,2022,Raw milk
209,SE,29,01/05/2022,31/05/2022,5,May,47.70,100,2022,Raw milk
210,AT,1,01/04/2022,30/04/2022,4,Apr,45.96,100,2022,Raw milk
211,BE,2,01/04/2022,30/04/2022,4,Apr,48.81,100,2022,Raw milk
212,BG,3,01/04/2022,30/04/2022,4,Apr,39.69,100,2022,Raw milk
213,HR,4,01/04/2022,30/04/2022,4,Apr,38.93,100,2022,Raw milk
214,CY,5,01/04/2022,30/04/2022,4,Apr,57.52,100,2022,Raw milk
215,CZ,6,01/04/2022,30/04/2022,4,Apr,42.86,100,2022,Raw milk
216,DK,7,01/04/2022,30/04/2022,4,Apr,46.78,100,2022,Raw milk
217,EE,8,01/04/2022,30/04/2022,4,Apr,42.64,100,2022,Raw milk
218,EU-UK,9,01/04/2022,30/04/2022,4,Apr,46.23,100,2022,Raw milk
219,FI,11,01/04/2022,30/04/2022,4,Apr,46.01,100,2022,Raw milk
220,FR,12,01/04/2022,30/04/2022,4,Apr,42.58,100,2022,Raw milk
221,DE,13,01/04/2022,30/04/2022,4,Apr,49.69,100,2022,Raw milk
222,EL,14,01/04/2022,30/04/2022,4,Apr,47.95,100,2022,Raw milk
223,HU,15,01/04/2022,30/04/2022,4,Apr,38.89,100,2022,Raw milk
224,IE,16,01/04/2022,30/04/2022,4,Apr,51.28,100,2022,Raw milk
225,IT,17,01/04/2022,30/04/2022,4,Apr,45.93,100,2022,Raw milk
226,LV,18,01/04/2022,30/04/2022,4,Apr,45.21,100,2022,Raw milk
227,LT,19,01/04/2022,30/04/2022,4,Apr,51.04,100,2022,Raw milk
228,MT,21,01/04/2022,30/04/2022,4,Apr,62.51,100,2022,Raw milk
229,NL,22,01/04/2022,30/04/2022,4,Apr,48.50,100,2022,Raw milk
230,PL,23,01/04/2022,30/04/2022,4,Apr,45.17,100,2022,Raw milk
231,PT,24,01/04/2022,30/04/2022,4,Apr,37.85,100,2022,Raw milk
232,RO,25,01/04/2022,30/04/2022,4,Apr,42.41,100,2022,Raw milk
233,SK,26,01/04/2022,30/04/2022,4,Apr,39.64,100,2022,Raw milk
234,SI,27,01/04/2022,30/04/2022,4,Apr,40.63,100,2022,Raw milk
235,ES,28,01/04/2022,30/04/2022,4,Apr,40.68,100,2022,Raw milk
236,SE,29,01/04/2022,30/04/2022,4,Apr,45.97,100,2022,Raw milk
237,AT,1,01/03/2022,31/03/2022,3,Mar,44.26,100,2022,Raw milk
238,BE,2,01/03/2022,31/03/2022,3,Mar,47.68,100,2022,Raw milk
239,BG,3,01/03/2022,31/03/2022,3,Mar,38.57,100,2022,Raw milk
240,HR,4,01/03/2022,31/03/2022,3,Mar,37.66,100,2022,Raw milk
241,CY,5,01/03/2022,31/03/2022,3,Mar,58.32,100,2022,Raw milk
242,CZ,6,01/03/2022,31/03/2022,3,Mar,40.63,100,2022,Raw milk
243,DK,7,01/03/2022,31/03/2022,3,Mar,46.23,100,2022,Raw milk
244,EE,8,01/03/2022,31/03/2022,3,Mar,41.21,100,2022,Raw milk
245,EU-UK,9,01/03/2022,31/03/2022,3,Mar,43.92,100,2022,Raw milk
246,FI,11,01/03/2022,31/03/2022,3,Mar,43.93,100,2022,Raw milk
247,FR,12,01/03/2022,31/03/2022,3,Mar,40.94,100,2022,Raw milk
248,DE,13,01/03/2022,31/03/2022,3,Mar,47.98,100,2022,Raw milk
249,EL,14,01/03/2022,31/03/2022,3,Mar,46.79,100,2022,Raw milk
250,HU,15,01/03/2022,31/03/2022,3,Mar,37.02,100,2022,Raw milk
251,IE,16,01/03/2022,31/03/2022,3,Mar,48.95,100,2022,Raw milk
252,IT,17,01/03/2022,31/03/2022,3,Mar,40.56,100,2022,Raw milk
253,LV,18,01/03/2022,31/03/2022,3,Mar,43.44,100,2022,Raw milk
254,LT,19,01/03/2022,31/03/2022,3,Mar,47.62,100,2022,Raw milk
255,MT,21,01/03/2022,31/03/2022,3,Mar,63.54,100,2022,Raw milk
256,NL,22,01/03/2022,31/03/2022,3,Mar,46.50,100,2022,Raw milk
257,PL,23,01/03/2022,31/03/2022,3,Mar,41.44,100,2022,Raw milk
258,PT,24,01/03/2022,31/03/2022,3,Mar,34.16,100,2022,Raw milk
259,RO,25,01/03/2022,31/03/2022,3,Mar,40.74,100,2022,Raw milk
260,SK,26,01/03/2022,31/03/2022,3,Mar,38.84,100,2022,Raw milk
261,SI,27,01/03/2022,31/03/2022,3,Mar,38.16,100,2022,Raw milk
262,ES,28,01/03/2022,31/03/2022,3,Mar,37.18,100,2022,Raw milk
263,SE,29,01/03/2022,31/03/2022,3,Mar,44.71,100,2022,Raw milk
264,AT,1,01/02/2022,28/02/2022,2,Feb,43.20,100,2022,Raw milk
265,BE,2,01/02/2022,28/02/2022,2,Feb,45.61,100,2022,Raw milk
266,BG,3,01/02/2022,28/02/2022,2,Feb,37.99,100,2022,Raw milk
267,HR,4,01/02/2022,28/02/2022,2,Feb,35.96,100,2022,Raw milk
268,CY,5,01/02/2022,28/02/2022,2,Feb,58.36,100,2022,Raw milk
269,CZ,6,01/02/2022,28/02/2022,2,Feb,40.91,100,2022,Raw milk
270,DK,7,01/02/2022,28/02/2022,2,Feb,43.68,100,2022,Raw milk
271,EE,8,01/02/2022,28/02/2022,2,Feb,40.30,100,2022,Raw milk
272,EU-UK,9,01/02/2022,28/02/2022,2,Feb,42.50,100,2022,Raw milk
273,FI,11,01/02/2022,28/02/2022,2,Feb,42.15,100,2022,Raw milk
274,FR,12,01/02/2022,28/02/2022,2,Feb,41.18,100,2022,Raw milk
275,DE,13,01/02/2022,28/02/2022,2,Feb,44.25,100,2022,Raw milk
276,EL,14,01/02/2022,28/02/2022,2,Feb,45.46,100,2022,Raw milk
277,HU,15,01/02/2022,28/02/2022,2,Feb,37.28,100,2022,Raw milk
278,IE,16,01/02/2022,28/02/2022,2,Feb,47.59,100,2022,Raw milk
279,IT,17,01/02/2022,28/02/2022,2,Feb,40.56,100,2022,Raw milk
280,LV,18,01/02/2022,28/02/2022,2,Feb,42.67,100,2022,Raw milk
281,LT,19,01/02/2022,28/02/2022,2,Feb,45.94,100,2022,Raw milk
282,MT,21,01/02/2022,28/02/2022,2,Feb,61.92,100,2022,Raw milk
283,NL,22,01/02/2022,28/02/2022,2,Feb,45.00,100,2022,Raw milk
284,PL,23,01/02/2022,28/02/2022,2,Feb,40.62,100,2022,Raw milk
285,PT,24,01/02/2022,28/02/2022,2,Feb,34.15,100,2022,Raw milk
286,RO,25,01/02/2022,28/02/2022,2,Feb,39.63,100,2022,Raw milk
287,SK,26,01/02/2022,28/02/2022,2,Feb,38.10,100,2022,Raw milk
288,SI,27,01/02/2022,28/02/2022,2,Feb,36.87,100,2022,Raw milk
289,ES,28,01/02/2022,28/02/2022,2,Feb,36.70,100,2022,Raw milk
290,SE,29,01/02/2022,28/02/2022,2,Feb,43.01,100,2022,Raw milk
291,AT,1,01/01/2022,31/01/2022,1,Jan,42.40,100,2022,Raw milk
292,BE,2,01/01/2022,31/01/2022,1,Jan,45.13,100,2022,Raw milk
293,BG,3,01/01/2022,31/01/2022,1,Jan,37.61,100,2022,Raw milk
294,HR,4,01/01/2022,31/01/2022,1,Jan,36.14,100,2022,Raw milk
295,CY,5,01/01/2022,31/01/2022,1,Jan,58.22,100,2022,Raw milk
296,CZ,6,01/01/2022,31/01/2022,1,Jan,39.82,100,2022,Raw milk
297,DK,7,01/01/2022,31/01/2022,1,Jan,43.68,100,2022,Raw milk
298,EE,8,01/01/2022,31/01/2022,1,Jan,38.67,100,2022,Raw milk
299,EU-UK,9,01/01/2022,31/01/2022,1,Jan,41.81,100,2022,Raw milk
300,FI,11,01/01/2022,31/01/2022,1,Jan,42.38,100,2022,Raw milk
301,FR,12,01/01/2022,31/01/2022,1,Jan,40.73,100,2022,Raw milk
302,DE,13,01/01/2022,31/01/2022,1,Jan,43.03,100,2022,Raw milk
303,EL,14,01/01/2022,31/01/2022,1,Jan,44.22,100,2022,Raw milk
304,HU,15,01/01/2022,31/01/2022,1,Jan,36.01,100,2022,Raw milk
305,IE,16,01/01/2022,31/01/2022,1,Jan,46.03,100,2022,Raw milk
306,IT,17,01/01/2022,31/01/2022,1,Jan,39.89,100,2022,Raw milk
307,LV,18,01/01/2022,31/01/2022,1,Jan,41.72,100,2022,Raw milk
308,LT,19,01/01/2022,31/01/2022,1,Jan,44.23,100,2022,Raw milk
309,MT,21,01/01/2022,31/01/2022,1,Jan,62.00,100,2022,Raw milk
310,NL,22,01/01/2022,31/01/2022,1,Jan,45.00,100,2022,Raw milk
311,PL,23,01/01/2022,31/01/2022,1,Jan,40.09,100,2022,Raw milk
312,PT,24,01/01/2022,31/01/2022,1,Jan,34.19,100,2022,Raw milk
313,RO,25,01/01/2022,31/01/2022,1,Jan,40.41,100,2022,Raw milk
314,SK,26,01/01/2022,31/01/2022,1,Jan,37.18,100,2022,Raw milk
315,SI,27,01/01/2022,31/01/2022,1,Jan,35.93,100,2022,Raw milk
316,ES,28,01/01/2022,31/01/2022,1,Jan,36.02,100,2022,Raw milk
317,SE,29,01/01/2022,31/01/2022,1,Jan,42.90,100,2022,Raw milk
318,AT,1,01/12/2021,31/12/2021,12,Dec,44.16,100,2021,Raw milk
319,BE,2,01/12/2021,31/12/2021,12,Dec,45.05,100,2021,Raw milk
320,BG,3,01/12/2021,31/12/2021,12,Dec,36.77,100,2021,Raw milk
321,HR,4,01/12/2021,31/12/2021,12,Dec,35.23,100,2021,Raw milk
322,CY,5,01/12/2021,31/12/2021,12,Dec,58.47,100,2021,Raw milk
323,CZ,6,01/12/2021,31/12/2021,12,Dec,38.00,100,2021,Raw milk
324,DK,7,01/12/2021,31/12/2021,12,Dec,42.49,100,2021,Raw milk
325,EE,8,01/12/2021,31/12/2021,12,Dec,35.78,100,2021,Raw milk
326,EU-UK,9,01/12/2021,31/12/2021,12,Dec,41.24,100,2021,Raw milk
327,FI,11,01/12/2021,31/12/2021,12,Dec,41.91,100,2021,Raw milk
328,FR,12,01/12/2021,31/12/2021,12,Dec,39.93,100,2021,Raw milk
329,DE,13,01/12/2021,31/12/2021,12,Dec,42.25,100,2021,Raw milk
330,EL,14,01/12/2021,31/12/2021,12,Dec,42.99,100,2021,Raw milk
